Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2021-03-17,0.3954035473949272,0.5029405800040556,0.3981548839856418,0.4822891062449641,0.39540354739492733,0.4682132426490455,2021-03-17
2021-03-18,0.4033077845772256,0.5102413303589532,0.4039686724635255,0.49774087937417766,0.4033077845772257,0.45943056388515036,2021-03-18
2021-03-19,0.41094336773073026,0.5185560738186981,0.41029781475047156,0.507736085754791,0.41094336773073037,0.4519454061371364,2021-03-19
2021-03-20,0.41773087546360965,0.5250456296897181,0.41596670665015545,0.5163747998408926,0.41773087546360976,0.4447480244567321,2021-03-20
2021-03-21,0.42426860755890783,0.5327519772865541,0.42250049668156964,0.5172927269574795,0.42426860755890794,0.43890256742637845,2021-03-21
2021-03-22,0.4310285237969381,0.5386331372946662,0.4286070658741671,0.5227798912766326,0.431028523796938,0.4314923997683249,2021-03-22
2021-03-23,0.43755463842072084,0.5447170959237475,0.4347689048955624,0.5262374167491101,0.43755463842072095,0.42469782661953737,2021-03-23
2021-03-24,0.44634180343819063,0.5505982559318596,0.4410203706663599,0.544973329117668,0.44634180343819096,0.41410001921252326,2021-03-24
2021-03-25,0.4557998774356754,0.5572906104238489,0.44816212881455175,0.5623017532407927,0.45579987743567574,0.4031126391897315,2021-03-25
2021-03-26,0.46522455120255357,0.563171770431961,0.45487666612392685,0.5823533611431252,0.4652245512025537,0.3918111141844518,2021-03-26
2021-03-27,0.4725755063039304,0.5672277428513484,0.4614014934804008,0.589227615327343,0.47257550630393075,0.38276672408441015,2021-03-27
2021-03-28,0.4802299678486476,0.5743256945852768,0.46860150901570397,0.5934704784440116,0.4802299678486477,0.37536225422204383,2021-03-28
2021-03-29,0.48870636550308,0.5818292435611436,0.4753235152208627,0.6067294256836007,0.4887063655030801,0.36703773271323303,2021-03-29
2021-03-30,0.49741220821994203,0.5893327925370104,0.4826654397760527,0.617367181045825,0.4974122082199419,0.35847557714791756,2021-03-30
